Sample;;;;;;;13C4-PFBA Results;;;;PFBA Results;;;;13C5-PFPeA Results;;;;PFPeA Results;;;;4:2 FTS Results;;;;13C2-4:2FTS Results;;;;13C5-PFHxA Results;;;;PFHxA Results;;;;13C3-PFBS Results;;;;PFBS Results;;;;13C3-HFPO-DA Results;;;;HFPO-DA Results;;;;PFPHpA Results;;;;13C4-PFHpA Results;;;;PFPeS Results;;;;ADONA Results;;;;6:2 FTS Results;;;;13C2-6:2FTS Results;;;;13C8-PFOA Results;;;;PFOA Results;;;;PFHxS Results;;;;13C3-PFHxS Results;;;;PFNA Results;;;;13C9-PFNA Results;;;;PFHpS Results;;;;8:2 FTS Results;;;;13C2-8:2FTS Results;;;;13C6-PFDA Results;;;;PFDA Results;;;;D3-NMeFOSAA Results;;;;NMeFOSAA Results;;;;PFOS Results;;;;13C8-PFOS Results;;;;D5-NEtFOSAA Results;;;;NEtFOSAA Results;;;;PFUnA Results;;;;13C7-PFUnA Results;;;;9Cl-PF3ONS Results;;;;PFNS Results;;;;PFDoA Results;;;;13C2-PFDoA Results;;;;PFDS Results;;;;PFTrDA Results;;;;11Cl-PF3OUdS Results;;;;13C2-PFTeDA Results;;;;PFTeDA Results;;;;PFOSA Results;;;;13C8-PFOSA Results;;;;D7-NMeFOSE Results;;;;NMeFOSE Results;;;;NMeFOSA Results;;;;D3-NMeFOSA Results;;;;NEtFOSA Results;;;;D9-NEtFOSE Results;;;;NEtFOSE Results;;;;D5-NEtFOSA Results;;;
;;Name;Data File;Type;Level;Acq. Date-Time;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N
!;!;RSF 2 d 2h;39.d;Sample;;6/24/2025 12:16 AM;3.233;9.9574;;44529.72;3.236;0.0071;;21.41;4.296;5.2731;;25620.89;4.292;0.0048;;17.13;4.74;0.0024;;15.87;4.744;3.2494;;10825.98;4.93;2.4996;;14660.5;4.934;0.0118;;12.97;4.987;2.6866;;16772.69;4.991;0.0101;;54.02;5.118;10.5397;;28212.98;5.13;0.0008;;52.13;5.396;0.0028;;4;5.415;2.4352;;86797.11;5.494;0.0002;;4.77;5.607;0.0002;;10.64;5.631;0.0118;;47.62;5.66;3.3196;;7450.38;5.836;2.507;;67738.59;5.848;0.0147;;4.08;5.987;0.0284;;171.21;5.991;2.4579;;26763.85;6.236;0.0228;;12.16;6.232;1.2687;;7382.56;6.375;0.0036;;13.52;6.479;0.0042;;15.86;6.426;1.7715;;2853.01;6.609;1.264;;11294.96;6.612;0.0132;;17.82;6.677;1.5666;;1690.37;6.719;0.0013;;1.78;6.82;0.0336;;175.94;6.806;2.4113;;4147.26;6.857;1.0171;;123.53;6.809;0.0104;;9.14;6.902;0.0102;;4.95;6.995;0.5345;;3303.69;7.078;0.0001;;2.76;7.139;0.0003;;3.42;7.359;0.0143;;4.29;7.355;0.1652;;562.88;7.558;0.0013;;11.09;7.627;0.0333;;2.21;7.819;0.0001;;13.74;8.077;0.0848;;213.43;7.957;0.1795;;3.79;8.486;0.0089;;42.79;8.5;1.8633;;16267.9;9.724;1.5077;;958.25;9.746;0.1394;;13.67;9.928;0.0011;;11.75;9.855;0.219;;2753.88;10.032;0.028;;2.24;10.073;0.8009;;396.9;10.109;0.0916;;1.67;10.195;0.0757;;17.02
!;!;RSF 2 d 4h;40.d;Sample;;6/24/2025 12:31 AM;3.233;10.059;;5090.43;3.236;0.0091;;11.74;4.296;5.2238;;28493.56;4.301;0.0062;;9.61;4.707;0.0107;;30.68;4.744;3.1794;;3118.42;4.93;2.4684;;5834.44;4.925;0.0125;;90.55;4.987;2.6205;;12291.01;4.991;0.0158;;103.72;5.118;10.3328;;8936.75;5.114;0.0002;;18.24;5.437;0.0031;;11.21;5.423;2.3907;;4995.16;5.536;0.002;;12.09;5.558;0.0001;;14.27;5.631;0.0138;;20.29;5.669;2.9722;;7401.53;5.844;2.6133;;43610.7;5.84;0.0247;;3.76;5.996;0.0256;;94.7;5.999;2.4948;;11636.95;6.236;0.0228;;8.55;6.232;1.2444;;19144.19;7.106;0.0013;;3.98;6.34;0.0385;;5;6.435;1.496;;1531.65;6.617;1.2672;;5011.93;6.604;0.0089;;2.44;6.677;1.5444;;611.57;6.283;0.0085;;2.63;6.795;0.0534;;101.37;6.814;2.3966;;10848.07;6.857;1.0449;;121.53;6.85;0.0763;;19.53;6.894;0.0283;;9.67;7.003;0.5291;;7025.08;7.102;0.0002;;6.25;7.271;0.0002;;4.59;7.326;0.0331;;2.87;7.355;0.1727;;1132.57;7.658;0.0016;;4.57;7.842;0.023;;5.48;7.893;0;;5.13;8.085;0.108;;55.19;7.932;0.1719;;4.97;8.486;0.0074;;48.87;8.5;1.8361;;728.67;9.724;1.557;;581.29;9.763;0.124;;10.78;9.853;0.0124;;12.96;9.863;0.2156;;1134.34;10.106;0.0403;;6.78;10.073;0.8133;;336.21;10.117;0.7124;;6.71;10.204;0.0646;;89.38
!;!;RSF 2 d 6h;41.d;Sample;;6/24/2025 12:46 AM;3.233;10.0398;;12438.65;3.236;0.0077;;6.65;4.296;5.3159;;6072.11;4.312;0.0094;;19.48;4.707;0.0048;;74.13;4.744;3.204;;2545.23;4.93;2.5029;;70628.99;4.934;0.0161;;57.19;4.987;2.5415;;38222.5;4.983;0.0094;;50.31;5.118;10.4172;;11647.96;5.13;0.0007;;19.52;5.404;0.0023;;7.76;5.423;2.4648;;41026.82;5.536;0.0019;;16.24;5.599;0.0002;;15.14;5.697;0.003;;26.88;5.669;3.0904;;5068.19;5.844;2.4859;;27491.88;5.823;0.0214;;2.39;5.987;0.0283;;206.64;5.999;2.4449;;751.26;6.244;0.0179;;45.54;6.232;1.2879;;7649.99;6.408;0.0018;;20.23;6.397;0.0289;;6.36;6.41;1.9282;;1430.95;6.617;1.2618;;3317.17;6.572;0.0067;;2.51;6.677;1.6429;;231.44;6.702;0.0018;;4.39;6.787;0.0336;;4.88;6.814;2.2944;;5817.94;6.857;1.0489;;109.72;6.989;0.007;;21.59;7.099;0.0284;;2.7;6.995;0.5596;;2836.76;7.127;0.0002;;3.97;7.115;0.0004;;7.19;7.45;0.1143;;5.66;7.355;0.1567;;1970.87;7.583;0.0018;;6.76;7.875;0.0539;;6.87;7.819;0;;1.34;8.077;0.1453;;288.66;8.057;0.0434;;5.84;8.503;0.0092;;37.59;8.5;1.9235;;11176.27;9.724;1.5538;;3074.73;9.754;0.2018;;6.09;9.878;0.0096;;10.28;9.855;0.1849;;141.73;9.924;0.05;;7.83;10.073;0.6998;;922.74;10.142;0.9551;;41.66;10.204;0.0745;;111.55
!;!;RSF 2 d 8h;42.d;Sample;;6/24/2025 1:02 AM;3.233;9.9603;;5669.56;3.228;0.009;;10.81;4.296;5.2661;;26561.6;4.292;0.0069;;29.99;4.765;0.0023;;5.58;4.744;3.0634;;8992.34;4.93;2.4366;;43394.62;4.925;0.0149;;47.12;4.987;2.62;;29600.48;4.991;0.035;;124.88;5.118;10.0714;;24162.09;5.114;0.0011;;99.3;5.478;0.0032;;6.16;5.423;2.4264;;47293.63;5.552;0.0001;;1.23;5.591;0;;17.32;5.656;0.0071;;22.47;5.669;3.3146;;10312.95;5.844;2.4801;;67633.99;5.84;0.0145;;4.58;6.004;0.0287;;6.72;5.999;2.5798;;7488.73;6.228;0.0205;;8.34;6.232;1.2653;;10714.41;6.276;0.0038;;21.81;6.52;0.0029;;9.31;6.435;1.598;;1196.42;6.617;1.3041;;2770.13;6.645;0.004;;2.99;6.685;1.7027;;2618.13;6.752;0.0009;;2.4;6.82;0.0532;;133.44;6.814;2.4431;;5603.88;6.857;1.1447;;2561.53;6.997;0.0357;;38.01;7.116;0.0119;;1.59;6.995;0.6018;;2219.06;7.094;0.0005;;15.32;7.296;0.0003;;3.42;7.4;0.0185;;2.09;7.364;0.1885;;1720.1;7.642;0.0003;;1.76;7.892;0.0417;;1.52;7.719;0;;2.95;8.085;0.0985;;123.05;7.965;0.1155;;2.14;8.503;0.0064;;293.31;8.5;1.9747;;25146.84;9.724;1.8461;;3037.16;9.688;0.0713;;2.08;9.82;0.0096;;4.06;9.855;0.1968;;651.82;10.189;0.1295;;3.65;10.073;0.9523;;547.84;10.1;0.1909;;32.86;10.204;0.0765;;228.51
!;!;RSF 2 d 24h;43.d;Sample;;6/24/2025 1:17 AM;3.233;10.0975;;9245.55;3.244;0.007;;16.84;4.296;5.3393;;26963.32;4.312;0.0064;;16.77;4.724;0.0013;;17.05;4.744;3.1314;;4231.64;4.93;2.5118;;5506.18;4.942;0.017;;31.37;4.987;2.541;;21029.88;4.966;0.009;;33.42;5.118;10.4874;;17363.67;5.114;0.0006;;41.42;5.454;0.0058;;12.14;5.423;2.5004;;62316.15;5.511;0.0002;;2.33;5.558;0;;9.43;5.615;0.0137;;47.62;5.66;3.2568;;2340.55;5.844;2.4502;;32334.56;5.832;0.028;;5.39;6.013;0.0224;;142.04;5.991;2.5131;;12791.69;6.22;0.0133;;23.76;6.232;1.2488;;1422.99;6.4;0.0008;;7.67;6.561;0.0058;;0.9;6.426;1.6695;;1383.08;6.617;1.2568;;7203.55;6.596;0.0016;;3.9;6.685;1.8542;;1799.07;6.744;0.0006;;1.47;6.795;0.0683;;182.85;6.814;2.3595;;3580.46;6.857;1.0596;;1633.11;6.915;0.0663;;29.84;7.017;0.0187;;5.94;6.986;0.5564;;5076.66;7.144;0.0002;;2.36;7.156;0.0017;;17.13;7.302;0.0613;;7.96;7.364;0.1561;;764.62;7.443;0.0027;;3.47;7.71;0.0072;;1.42;7.968;0.0001;;6.85;8.085;0.1702;;1075.01;8.222;0.0152;;5.59;8.511;0.0055;;36.58;8.5;2.0198;;729.02;9.724;1.7469;;3752.13;9.788;0.1256;;9.05;9.886;0.0045;;2.83;9.855;0.2021;;661.39;10.082;0.0966;;8.47;10.073;0.7317;;1019.88;10.125;0.0808;;5.65;10.204;0.0722;;348.27
!;!;RSF 2 d 72h;44.d;Sample;;6/24/2025 1:32 AM;3.233;9.9017;;5149.9;3.236;0.009;;11.23;4.296;5.286;;21417.27;4.312;0.0056;;24.98;4.716;0.0029;;24.82;4.744;3.2135;;5435.48;4.93;2.5298;;5744.03;4.934;0.0152;;30.84;4.987;2.7607;;45637.9;4.991;0.0148;;232.05;5.118;10.3288;;43015.65;5.122;0.0007;;35.45;5.421;0.0012;;1.02;5.423;2.4456;;76934.3;5.445;0.0002;;2.36;5.566;0;;1.67;5.689;0.0038;;9.12;5.669;3.2624;;6119.97;5.844;2.554;;9419.62;5.848;0.0287;;4.97;5.987;0.0372;;162.27;5.999;2.5875;;4597.51;6.244;0.0182;;16.65;6.232;1.225;;4272.92;6.424;0.0012;;12.58;6.487;0.0061;;5.24;6.426;1.6431;;135.24;6.617;1.25;;9046.72;6.588;0.0082;;3.03;6.685;1.6738;;239.03;6.653;0.0015;;2.83;6.803;0.0293;;103.88;6.814;2.5548;;7152.61;6.866;1.1082;;989.38;6.899;0.0608;;87.17;7.066;0.0058;;3.26;6.995;0.5333;;2187.34;7.258;0.0004;;3.11;7.197;0.0014;;17.13;7.351;0.0214;;6.23;7.355;0.1805;;1175.88;7.55;0.0008;;4.86;7.826;0.0057;;1.02;7.885;0;;4.38;8.085;0.2114;;1277.78;7.998;0.0168;;4.05;8.494;0.0093;;49.7;8.5;2.1579;;836.82;9.724;1.6424;;169.38;9.721;0.1036;;2.86;10.119;0.0137;;13.07;9.855;0.2133;;1123.97;9.874;0.0185;;2.68;10.073;0.7789;;540.35;10.067;0.3653;;13.29;10.204;0.0785;;280.8
!;!;Sib 1 1:1 4h;45.d;Sample;;6/24/2025 1:47 AM;3.233;10.0076;;3652.99;3.236;0.2933;;210.66;4.296;5.3191;;10501.38;4.301;0.006;;39.67;4.699;0.0025;;3.94;4.744;3.1368;;3397.55;4.93;2.5099;;21541.22;4.934;0.3027;;963.42;4.987;2.6513;;57932.62;4.991;0.2683;;1361.53;5.118;10.6775;;20119.67;5.105;0.0001;;14.86;5.421;0.0047;;3.64;5.423;2.3937;;57444.06;5.56;0.0003;;9.66;5.591;0.0001;;19.86;5.664;0.0128;;28.86;5.669;3.1541;;4226.11;5.844;2.4327;;91518.71;5.848;0.3624;;74.94;5.996;0.325;;786.55;5.999;2.545;;10566.19;6.236;0.2289;;67.83;6.232;1.2462;;5384.14;6.383;0.0028;;33.24;6.537;0.0063;;3.92;6.435;1.7698;;1716.84;6.617;1.2939;;5598.48;6.612;0.0652;;46.89;6.685;1.6198;;2132.78;6.645;0.0011;;1.49;6.812;0.1627;;429.58;6.814;2.6007;;4271.34;6.857;1.1629;;2655.25;6.899;0.0126;;16.94;7.107;0.0148;;1.96;6.995;0.5202;;3720.68;7.078;0.0003;;2.98;6.877;0.0002;;3.12;7.392;0.0377;;2.76;7.364;0.1461;;498.81;7.741;0.0003;;2.12;7.834;0.2516;;4.72;7.786;0;;2.13;8.085;0.057;;79.37;8.048;0.0742;;1.88;8.486;0.006;;10.6;8.5;1.4108;;10170.83;9.724;1.4439;;576.84;9.704;0.0534;;2.37;9.729;0.0183;;4.88;9.855;0.1648;;476.59;10.189;0.0936;;3.8;10.073;0.7096;;90.36;10.1;0.2892;;55.79;10.195;0.0593;;59.75
!;!;Sib 1 1:1 8h;46.d;Sample;;6/24/2025 2:03 AM;3.233;10.0224;;8162.77;3.236;0.3045;;155.57;4.296;5.3815;;6323.25;4.312;0.006;;13.75;4.79;0.0029;;18.53;4.744;3.1891;;7223.54;4.93;2.5649;;37962.94;4.925;0.3061;;654.17;4.987;2.5893;;19152.3;4.983;0.3401;;3891.04;5.118;10.5222;;109072.08;5.122;0.0011;;45.69;5.388;0.003;;10.13;5.415;2.4136;;11414.54;5.371;0.0009;;8.9;5.615;0.0001;;54.4;5.656;0.0057;;6.97;5.669;3.0156;;10870.46;5.844;2.4848;;2385.03;5.84;0.3246;;20.51;5.996;0.3276;;882.37;5.999;2.46;;8874.62;6.228;0.2073;;36.39;6.232;1.2584;;787.6;6.408;0.0027;;10.67;6.389;0.0047;;7.5;6.426;1.6961;;7989.7;6.609;1.2101;;2535.72;6.621;0.0792;;96.83;6.677;1.369;;4315.29;6.702;0.0016;;1.76;6.812;0.154;;200.66;6.814;2.5534;;13184.7;6.857;1.0747;;2359.83;6.751;0.099;;47.89;7.157;0.013;;3.55;6.986;0.4648;;3449.73;7.086;0.0001;;4.52;7.148;0.0002;;6.01;;;;;7.355;0.1482;;894.43;7.558;0.0006;;23.85;7.519;0.0619;;1.42;7.786;0.0001;;6.88;8.069;0.0475;;22.23;8.09;0.0389;;1.79;8.503;0.0033;;22.95;8.5;1.414;;15313.41;9.724;1.3929;;1296.24;9.721;0.0437;;6.04;9.82;0.0148;;5.82;9.855;0.1754;;366.74;10.007;0.0466;;2.64;10.073;0.6451;;414.57;10.059;0.2195;;15.15;10.195;0.0674;;79.58
!;!;Sib 1 1:1 24h;47.d;Sample;;6/24/2025 2:18 AM;3.233;10.0698;;2909.23;3.236;0.3019;;126.88;4.296;5.3333;;6580.38;4.301;0.008;;19.39;4.79;0.0012;;6.86;4.744;3.2267;;2870.86;4.93;2.4822;;18321.23;4.934;0.3237;;1611.43;4.987;2.6435;;11056.64;4.983;0.303;;362.99;5.118;10.5635;;13157.69;5.13;0.0005;;36.79;5.379;0.0021;;2.67;5.423;2.4574;;113178.68;5.544;0.0006;;6.16;5.69;0;;10.57;5.631;0.0102;;45.35;5.66;3.2002;;4832.54;5.844;2.5974;;62567.44;5.84;0.2882;;103.99;6.004;0.3087;;613.47;5.999;2.5653;;10422.81;6.228;0.1278;;43.36;6.232;1.2342;;8617.05;6.507;0.0002;;23.46;6.381;0.0043;;1.4;6.418;1.754;;1262.44;6.617;1.3146;;4285.42;6.604;0.0082;;5.38;6.677;1.4066;;2209.16;6.94;0.0098;;14.41;6.803;0.0644;;182.3;6.814;2.3954;;3882.68;6.857;1.011;;1070.05;6.841;0.0048;;4.52;6.951;0.0447;;4.68;6.995;0.5044;;1908.48;7.061;0.0004;;6.02;7.189;0.0017;;4.2;7.343;0.0278;;2.29;7.355;0.1536;;1549.86;7.558;0.0007;;5.46;7.702;0.0175;;7.13;7.877;0.0001;;5.72;8.085;0.1113;;52.31;8.007;0.058;;3.44;8.494;0.0074;;101.29;8.5;1.4093;;20349.76;9.724;1.5699;;168.32;9.962;0.1776;;3.57;9.853;0.0015;;2.55;9.855;0.1696;;435.87;10.032;0.0346;;7.36;10.073;0.7603;;1209.49;10.117;0.0186;;4.05;10.204;0.0686;;924.6
!;!;Sib 1 1:1 48h;48.d;Sample;;6/24/2025 2:33 AM;3.233;9.9533;;3950.01;3.236;0.3018;;328.71;4.296;5.3015;;12173.28;4.301;0.0083;;74.52;4.757;0.0026;;65.47;4.744;2.9735;;10442.1;4.93;2.4986;;170489.96;4.925;0.3051;;693.32;4.987;2.537;;14817.5;4.991;0.2976;;156.45;5.118;10.3504;;13708.72;5.122;0.0015;;157.29;5.379;0.0018;;2.09;5.415;2.4406;;62935.55;5.56;0.0008;;3.21;5.508;0.0001;;12.61;5.681;0.0111;;16.61;5.669;3.0886;;3457.45;5.844;2.5408;;142036.86;5.84;0.2811;;54.58;5.996;0.3123;;352.62;5.999;2.3598;;8720.06;6.236;0.1331;;69.31;6.232;1.2997;;8296.76;6.432;0.002;;16.23;6.782;0.0118;;1.16;6.426;1.6635;;1418.18;6.609;1.3626;;3910.99;6.604;0.0013;;1.27;6.677;1.5437;;2407.32;6.645;0.0099;;26.62;6.803;0.0664;;120.01;6.806;2.4243;;5407.21;6.857;1.0224;;1129.43;6.915;0.0498;;27.55;7.009;0.0473;;1.6;6.986;0.5513;;3968.82;7.061;0.0003;;11.64;7.139;0.0019;;9.76;7.326;0.0652;;15.45;7.364;0.2077;;716.86;7.517;0.0008;;3.48;7.884;0.0084;;1.86;7.811;0;;2.74;8.077;0.1529;;2965.06;8.073;0.0751;;2.17;8.486;0.0064;;82.78;8.5;1.3844;;16073.06;9.724;1.6701;;658.02;9.73;0.0652;;4.28;9.828;0.018;;3.31;9.863;0.1792;;261.25;9.858;0.126;;12.97;10.073;0.9298;;353.84;9.951;0.2903;;4.39;10.204;0.0813;;126.83
!;!;Sib 2 1:1 4h;49.d;Sample;;6/24/2025 2:49 AM;3.233;9.9192;;4224.24;3.236;0.3013;;393.3;4.296;5.3481;;34359.82;4.312;0.0052;;16.74;4.782;0.0018;;12.55;4.744;3.1474;;7490.5;4.93;2.4971;;16682.91;4.934;0.2983;;450.66;4.987;2.6424;;13805.84;4.991;0.2943;;145.35;5.118;10.568;;16402.76;5.105;0.0009;;3.66;5.421;0.0044;;5.96;5.423;2.4642;;180721.84;5.544;0.0003;;3.6;5.607;0;;31.68;5.648;0.0124;;35.88;5.669;3.1756;;3875.55;5.844;2.5404;;52430.44;5.84;0.3362;;57.52;5.996;0.3136;;1237.27;5.999;2.5073;;9767.5;6.236;0.2429;;390.14;6.232;1.2553;;13143.46;6.432;0.001;;4.85;6.52;0.0168;;4.52;6.426;1.8602;;4043.96;6.609;1.2355;;11942.1;6.621;0.0753;;9.8;6.677;1.7585;;3034.21;6.719;0.0011;;2.53;6.812;0.1735;;146.59;6.806;2.4788;;3352.88;6.866;1.1325;;128.46;6.825;0.0335;;144.71;6.935;0.0036;;1.18;6.986;0.5847;;2595.33;7.094;0.0002;;2.13;7.156;0.0004;;2.48;7.343;0.0633;;4.7;7.355;0.1816;;1635.73;7.65;0;;0.81;7.751;0.0205;;4.22;7.902;0.0001;;4.17;8.077;0.136;;792.49;8.148;0.0186;;2.54;8.478;0.008;;36.57;8.5;1.469;;11274.43;9.724;1.7764;;5128.94;9.671;0.0794;;5.9;10.036;0.0038;;2.17;9.855;0.1752;;876.45;10.082;0.0311;;1.48;10.073;0.9981;;1121.24;10.167;0.064;;3.11;10.195;0.0761;;67.45
!;!;Sib 2 1:1 8h;50.d;Sample;;6/24/2025 3:04 AM;3.233;10.0069;;13273.32;3.228;0.3018;;263.97;4.296;5.2222;;29540.38;4.301;0.0061;;45.91;4.815;0.0069;;175.02;4.744;3.1059;;786.51;4.93;2.4626;;49528.64;4.934;0.3069;;700.7;4.987;2.6725;;8844.56;4.983;0.3059;;892.23;5.118;10.6608;;29237.55;5.114;0.0004;;10.29;5.412;0.0028;;4.94;5.423;2.4125;;4867.49;5.536;0.0004;;3.68;5.583;0;;6.89;5.664;0.0041;;17.44;5.669;3.297;;3872.46;5.844;2.6304;;51801.87;5.848;0.3295;;101.05;6.004;0.3169;;981.15;5.999;2.5534;;13728.29;6.236;0.2488;;197.24;6.232;1.3446;;7068.95;6.391;0.0009;;12.18;6.512;0.0028;;3.01;6.435;1.7762;;1812.43;6.617;1.3036;;4615.14;6.621;0.0899;;40.4;6.677;1.4659;;9084.83;6.506;0.007;;25;6.803;0.128;;651.96;6.814;2.2098;;2541.75;6.857;0.9584;;701.57;6.989;0.0599;;68.25;7.017;0.0261;;4.4;6.986;0.582;;206.05;7.119;0.0003;;13.88;7.279;0.0006;;3.95;7.359;0.0325;;2.43;7.364;0.1772;;1099.63;7.633;0.0002;;1.81;7.851;0.0273;;2.3;7.786;0;;2.82;8.085;0.1348;;590.07;8.065;0.0185;;4.58;8.478;0.0059;;38.13;8.5;1.3153;;4487.14;9.724;1.3764;;2437.33;9.738;0.0613;;4.43;9.978;0.0115;;3.72;9.855;0.161;;1237.67;9.999;0.0783;;8.73;10.073;0.6679;;271.36;10.109;0.1063;;7.94;10.195;0.0624;;97.02
;!;Qc std;51.d;Sample;;6/24/2025 3:19 AM;3.208;10.0786;;14510.3;3.211;9.0275;;6022.36;4.296;5.1573;;10900.81;4.292;5.0337;;8497.61;4.749;10.6129;;69210.53;4.744;3.7394;;37312.28;4.93;2.4886;;6325.12;4.934;2.2892;;2581.6;4.987;2.6407;;13634.72;4.983;2.2633;;1307.79;5.118;9.9905;;9157.66;5.122;2.2642;;6675.13;5.421;2.4621;;3681.61;5.423;2.4574;;32820.13;5.544;2.4061;;1035.74;5.583;2.2706;;26456.69;5.664;10.8443;;14908.52;5.669;3.8793;;7090.28;5.844;2.5043;;45331.02;5.848;2.2763;;207.95;5.996;2.3225;;579.59;5.999;2.4513;;12901.13;6.236;2.3269;;654.61;6.232;1.2684;;8970.55;6.416;2.7952;;9689.58;6.43;21.9776;;826.42;6.426;3.8991;;7904.17;6.617;1.3348;;17536.53;6.621;2.2821;;1795.34;6.677;4.7627;;24265.12;6.686;1.0778;;12407.06;6.812;2.3489;;428.91;6.806;2.3625;;14995.09;6.857;4.8043;;14046.1;6.866;2.1261;;2795.62;6.992;5.0666;;931.13;6.995;1.3293;;6501.1;7.102;2.3587;;9707.51;7.197;2.256;;7216.01;7.359;2.3312;;545.25;7.364;1.2845;;14162.35;7.567;2.2535;;11194.79;7.727;2.1715;;1700.53;7.852;0.568;;6701.5;8.077;1.3436;;18304.95;8.082;2.232;;1550.55;8.494;2.4755;;8650.66;8.5;2.426;;1587.46;9.724;22.335;;20819.53;9.746;67.0497;;7186.86;9.861;2.3492;;573.58;9.855;2.1792;;7463.1;10.048;2.1572;;3829.14;10.073;21.6298;;14121.62;10.1;66.788;;2708.9;10.195;2.2589;;7193.1
!;!;Sib 2 1:1 24h;52.d;Sample;;6/24/2025 3:34 AM;3.233;9.9163;;17615.76;3.228;0.3126;;628.26;4.296;5.1525;;6248.58;4.312;0.0069;;22.8;4.724;0.0016;;12.28;4.744;3.1613;;1964.07;4.93;2.4409;;15731.74;4.925;0.316;;562.1;4.987;2.6802;;14487.42;4.983;0.2957;;1072.53;5.118;10.1026;;18623.93;5.138;0.0006;;35.96;5.412;0.0015;;1.22;5.415;2.4067;;31434.78;5.692;0.0001;;8.4;5.591;0;;8.09;5.656;0.0081;;15.18;5.669;3.1559;;4773.92;5.844;2.6433;;72238.03;5.84;0.306;;67.39;5.996;0.2712;;783.61;5.991;2.5463;;10310.87;6.228;0.116;;21.15;6.232;1.3125;;4669.22;6.383;0.0014;;20.49;6.381;0.0509;;16.18;6.435;1.6308;;1226.61;6.617;1.2081;;25302.3;6.612;0.0277;;20.2;6.677;1.4275;;1045.5;6.637;0.0005;;3.63;6.812;0.0734;;127.83;6.814;2.2569;;355.78;6.866;0.8364;;1970.46;6.841;0.0439;;14.1;6.935;0.0234;;3.27;6.986;0.4373;;3575.73;7.07;0.0001;;2.45;7.402;0.0003;;1.24;7.277;0.0076;;0.78;7.364;0.1513;;377.06;7.509;0.0001;;1.55;7.677;0.0148;;1.78;7.951;0.0001;;1.26;8.077;0.0732;;186.51;8.156;0.0607;;17.23;8.511;0.0063;;4.25;8.5;1.2695;;511.43;9.724;1.4751;;1284.53;9.763;0.0906;;10.03;9.878;0.0151;;3.33;9.855;0.1592;;532.53;9.932;0.3284;;201.85;10.073;0.72;;265.41;10.109;0.495;;35.59;10.187;0.0558;;44.62
